Starting training for 100 epochs...
Total batches per epoch: 1299
Using device: mps

Epoch [1/100]
  Batch [980/1299] D_loss: -0.7921, G_loss: -0.8842
  Batch [990/1299] D_loss: -0.3730, G_loss: 0.7112
  Batch [1000/1299] D_loss: -0.4219, G_loss: -0.9729
  Batch [1010/1299] D_loss: -0.7308, G_loss: 1.2379
  Batch [1020/1299] D_loss: -0.3421, G_loss: -0.4655
  Batch [1030/1299] D_loss: -0.1168, G_loss: 0.9673
  Batch [1040/1299] D_loss: -0.2323, G_loss: 0.6691
  Batch [1050/1299] D_loss: -1.4076, G_loss: -2.9119
  Batch [1060/1299] D_loss: -0.4957, G_loss: 0.2475
  Batch [1070/1299] D_loss: -0.5176, G_loss: 0.3182
  Batch [1080/1299] D_loss: -0.4660, G_loss: -0.4209
  Batch [1090/1299] D_loss: -0.1301, G_loss: 0.5216
  Batch [1100/1299] D_loss: -0.7033, G_loss: 0.7400
  Batch [1110/1299] D_loss: -0.3057, G_loss: -0.8328
  Batch [1120/1299] D_loss: -0.6993, G_loss: 0.8708
  Batch [1130/1299] D_loss: -0.3654, G_loss: -1.0996
  Batch [1140/1299] D_loss: -0.2767, G_loss: 0.6970
  Batch [1150/1299] D_loss: -0.5319, G_loss: -2.9815
  Batch [1160/1299] D_loss: -0.0122, G_loss: 1.0310
  Batch [1170/1299] D_loss: -0.1851, G_loss: -1.6319
  Batch [1180/1299] D_loss: -1.0343, G_loss: -0.0916
  Batch [1190/1299] D_loss: -0.9972, G_loss: 0.4216
  Batch [1200/1299] D_loss: -0.5771, G_loss: -0.1292
  Batch [1210/1299] D_loss: -0.0618, G_loss: 0.4525
  Batch [1220/1299] D_loss: -0.1837, G_loss: 0.0113
  Batch [1230/1299] D_loss: -0.2595, G_loss: -0.1984
  Batch [1240/1299] D_loss: -0.4606, G_loss: 1.5951
  Batch [1250/1299] D_loss: -0.2834, G_loss: -1.0668
  Batch [1260/1299] D_loss: -0.3773, G_loss: 2.1309
  Batch [1270/1299] D_loss: -0.4461, G_loss: -0.6431
  Batch [1280/1299] D_loss: -0.3890, G_loss: 0.0969
  Batch [1290/1299] D_loss: 0.0662, G_loss: -1.0567

Epoch 1 Summary:
  Average D_loss: -0.2930
  Average G_loss: 0.2342

Models saved at epoch 1:
Generator: /Users/guyshani/Documents/PHD/Aim_2/10x_data_mouse/13_1_2025__normalized/saved_models/run_20250113_121927_dataset/generator_20250113_121927_dataset_epoch_1.pt
Discriminator: /Users/guyshani/Documents/PHD/Aim_2/10x_data_mouse/13_1_2025__normalized/saved_models/run_20250113_121927_dataset/discriminator_20250113_121927_dataset_epoch_1.pt

Epoch [2/100]
  Batch [0/1299] D_loss: -0.3889, G_loss: 1.8697
  Batch [10/1299] D_loss: -0.2823, G_loss: -0.7758
  Batch [20/1299] D_loss: -0.4590, G_loss: 1.6972
  Batch [30/1299] D_loss: -1.0043, G_loss: -0.3430
  Batch [40/1299] D_loss: -0.7278, G_loss: 0.5301
  Batch [50/1299] D_loss: -0.4837, G_loss: -0.3784
  Batch [60/1299] D_loss: -0.6865, G_loss: -0.2221
  Batch [70/1299] D_loss: -0.4190, G_loss: 0.4962
  Batch [80/1299] D_loss: -0.4863, G_loss: 1.6682
  Batch [90/1299] D_loss: -0.6967, G_loss: -0.1333
  Batch [100/1299] D_loss: -1.2711, G_loss: -1.1587
  Batch [110/1299] D_loss: -0.0670, G_loss: 0.8168
  Batch [120/1299] D_loss: -0.7564, G_loss: -2.6422
  Batch [130/1299] D_loss: -0.4784, G_loss: 1.5758
  Batch [140/1299] D_loss: -0.2985, G_loss: -1.8868
  Batch [150/1299] D_loss: -0.2795, G_loss: 0.4002
  Batch [160/1299] D_loss: -0.7720, G_loss: 0.9290
  Batch [170/1299] D_loss: -0.2702, G_loss: -1.7662
  Batch [180/1299] D_loss: -0.2838, G_loss: 1.2476
  Batch [190/1299] D_loss: -0.3042, G_loss: -2.2720
  Batch [200/1299] D_loss: -1.1953, G_loss: 0.3958
  Batch [210/1299] D_loss: -0.4404, G_loss: 0.7867
  Batch [220/1299] D_loss: -1.1053, G_loss: 0.7463
  Batch [230/1299] D_loss: -0.9451, G_loss: -0.7270
  Batch [240/1299] D_loss: -0.0404, G_loss: -0.1866
