Starting training for 200 epochs...
Total batches per epoch: 1299
Using device: mps

Epoch [1/200]
  Batch [980/1299] D_loss: -0.6605, G_loss: 0.2177
  Batch [990/1299] D_loss: -0.4758, G_loss: 0.1336
  Batch [1000/1299] D_loss: -0.3881, G_loss: -0.0501
  Batch [1010/1299] D_loss: -0.7335, G_loss: -0.0484
  Batch [1020/1299] D_loss: -0.9639, G_loss: -0.1086
  Batch [1030/1299] D_loss: -0.7455, G_loss: 0.1955
  Batch [1040/1299] D_loss: -0.7465, G_loss: 0.3067
  Batch [1050/1299] D_loss: -0.4184, G_loss: -0.2940
  Batch [1060/1299] D_loss: -0.3204, G_loss: 0.3339
  Batch [1070/1299] D_loss: -0.4669, G_loss: 0.0145
  Batch [1080/1299] D_loss: -0.6564, G_loss: 0.6952
  Batch [1090/1299] D_loss: -0.8370, G_loss: 0.0694
  Batch [1100/1299] D_loss: -0.8740, G_loss: 0.3697
  Batch [1110/1299] D_loss: -0.8701, G_loss: 0.7333
  Batch [1120/1299] D_loss: -0.6761, G_loss: 0.1325
  Batch [1130/1299] D_loss: -0.5981, G_loss: 0.0404
  Batch [1140/1299] D_loss: -0.6443, G_loss: -0.1215
  Batch [1150/1299] D_loss: -0.2973, G_loss: 0.1679
  Batch [1160/1299] D_loss: -0.9785, G_loss: -0.5322
  Batch [1170/1299] D_loss: -0.6978, G_loss: 0.3127
  Batch [1180/1299] D_loss: -0.5863, G_loss: 0.4810
  Batch [1190/1299] D_loss: -0.6032, G_loss: 0.1027
  Batch [1200/1299] D_loss: -0.6985, G_loss: 0.4009
  Batch [1210/1299] D_loss: -0.7156, G_loss: 0.1637
  Batch [1220/1299] D_loss: -0.7916, G_loss: 0.3520
  Batch [1230/1299] D_loss: -0.4218, G_loss: -0.3655
  Batch [1240/1299] D_loss: -0.5196, G_loss: -0.0042
  Batch [1250/1299] D_loss: -0.5084, G_loss: 0.7618
  Batch [1260/1299] D_loss: -0.5963, G_loss: 0.0687
  Batch [1270/1299] D_loss: -0.7598, G_loss: 0.1413
  Batch [1280/1299] D_loss: -0.8995, G_loss: -0.6857
  Batch [1290/1299] D_loss: -0.5611, G_loss: 0.0381

Epoch 1 Summary:
