Starting training for 100 epochs...
Total batches per epoch: 1299
Using device: mps

Epoch [1/100]
  Batch [980/1299] D_loss: -0.4942, G_loss: 1.7372
  Batch [990/1299] D_loss: -0.3234, G_loss: -1.1707
  Batch [1000/1299] D_loss: -0.3303, G_loss: 1.4686
  Batch [1010/1299] D_loss: -0.2815, G_loss: -1.4542
  Batch [1020/1299] D_loss: -0.1208, G_loss: 1.0781
  Batch [1030/1299] D_loss: -0.6236, G_loss: -1.2863
  Batch [1040/1299] D_loss: -0.3081, G_loss: 0.6265
  Batch [1050/1299] D_loss: -0.2153, G_loss: 0.0364
  Batch [1060/1299] D_loss: -0.1968, G_loss: 0.2480
  Batch [1070/1299] D_loss: -0.9820, G_loss: 1.8134
  Batch [1080/1299] D_loss: -0.3498, G_loss: -1.4131
  Batch [1090/1299] D_loss: -0.7115, G_loss: 0.4617
  Batch [1100/1299] D_loss: -0.4522, G_loss: 0.8022
  Batch [1110/1299] D_loss: -0.7578, G_loss: 0.6717
  Batch [1120/1299] D_loss: -0.2669, G_loss: -0.0853
  Batch [1130/1299] D_loss: -0.2182, G_loss: 0.3771
  Batch [1140/1299] D_loss: -0.9144, G_loss: 0.8647
  Batch [1150/1299] D_loss: -0.8156, G_loss: 0.7361
  Batch [1160/1299] D_loss: -0.8453, G_loss: 0.8425
  Batch [1170/1299] D_loss: -0.0887, G_loss: -0.6498
  Batch [1180/1299] D_loss: -0.8061, G_loss: 1.0303
  Batch [1190/1299] D_loss: -0.2595, G_loss: -0.7899
  Batch [1200/1299] D_loss: -0.2296, G_loss: 0.8925
  Batch [1210/1299] D_loss: -0.4352, G_loss: 0.6654
  Batch [1220/1299] D_loss: -0.5013, G_loss: 0.4957
  Batch [1230/1299] D_loss: -0.8084, G_loss: 0.5793
  Batch [1240/1299] D_loss: -0.8365, G_loss: 0.2557
  Batch [1250/1299] D_loss: -0.2768, G_loss: -0.8150
  Batch [1260/1299] D_loss: -0.7059, G_loss: 0.5703
  Batch [1270/1299] D_loss: 0.0626, G_loss: -0.4070
  Batch [1280/1299] D_loss: -0.2556, G_loss: 1.5705
  Batch [1290/1299] D_loss: -0.6965, G_loss: 1.5281

Epoch 1 Summary:
  Average D_loss: -0.2844
  Average G_loss: 0.2044

Models saved at epoch 1:
Generator: /Users/guyshani/Documents/PHD/Aim_2/10x_data_mouse/20_1_2025__normalized/saved_models/run_20250120_142110_dataset+cell_type/generator_20250120_142110_dataset+cell_type_epoch_1.pt
Discriminator: /Users/guyshani/Documents/PHD/Aim_2/10x_data_mouse/20_1_2025__normalized/saved_models/run_20250120_142110_dataset+cell_type/discriminator_20250120_142110_dataset+cell_type_epoch_1.pt
[34m[1mwandb[0m: [33mWARNING[0m Saving files without folders. If you want to preserve subdirectories pass base_path to wandb.save, i.e. wandb.save("/mnt/folder/file.h5", base_path="/mnt")

Epoch [2/100]
  Batch [0/1299] D_loss: -1.7853, G_loss: -1.0287
  Batch [10/1299] D_loss: -0.2461, G_loss: 0.5622
  Batch [20/1299] D_loss: 0.0149, G_loss: 0.2563
  Batch [30/1299] D_loss: -0.0716, G_loss: -0.6569
  Batch [40/1299] D_loss: -0.0680, G_loss: 0.3703
  Batch [50/1299] D_loss: -0.1452, G_loss: -0.9772
  Batch [60/1299] D_loss: -0.4741, G_loss: -0.7263
  Batch [70/1299] D_loss: -0.6283, G_loss: 0.1565
  Batch [80/1299] D_loss: -0.3867, G_loss: -0.5935
  Batch [90/1299] D_loss: -0.6718, G_loss: -0.4842
  Batch [100/1299] D_loss: -0.2476, G_loss: 0.1887
  Batch [110/1299] D_loss: -1.0037, G_loss: 0.5091
  Batch [120/1299] D_loss: -0.1079, G_loss: -0.8394
  Batch [130/1299] D_loss: 0.1587, G_loss: 1.6374
  Batch [140/1299] D_loss: -0.3426, G_loss: -1.9842
  Batch [150/1299] D_loss: -1.0532, G_loss: -0.8246
  Batch [160/1299] D_loss: -0.4567, G_loss: 0.1732
  Batch [170/1299] D_loss: -0.1777, G_loss: -0.7841
  Batch [180/1299] D_loss: -0.2308, G_loss: 0.4451
  Batch [190/1299] D_loss: -0.0955, G_loss: -0.5536
  Batch [200/1299] D_loss: -0.6077, G_loss: 0.4912
  Batch [210/1299] D_loss: -0.6606, G_loss: 0.5211
  Batch [220/1299] D_loss: -0.9119, G_loss: -0.9961
  Batch [230/1299] D_loss: -0.1905, G_loss: -0.4781
  Batch [240/1299] D_loss: -1.4884, G_loss: -0.9428
  Batch [250/1299] D_loss: -0.0289, G_loss: 0.4174
  Batch [260/1299] D_loss: -0.0870, G_loss: -1.4162
  Batch [270/1299] D_loss: -0.6016, G_loss: -0.0755
  Batch [280/1299] D_loss: -1.0030, G_loss: 1.3826
  Batch [290/1299] D_loss: -1.5088, G_loss: -1.1445
  Batch [300/1299] D_loss: -0.6464, G_loss: -0.0800
  Batch [310/1299] D_loss: 0.0004, G_loss: -0.4402
  Batch [320/1299] D_loss: 0.3251, G_loss: 0.5733
  Batch [330/1299] D_loss: 0.1721, G_loss: -1.4842
  Batch [340/1299] D_loss: -0.6914, G_loss: 1.3912
  Batch [350/1299] D_loss: -0.3408, G_loss: -0.2951
  Batch [360/1299] D_loss: -0.3414, G_loss: 1.1672
  Batch [370/1299] D_loss: -0.7377, G_loss: 0.0585
  Batch [380/1299] D_loss: -0.5053, G_loss: 0.5220
  Batch [390/1299] D_loss: -0.1461, G_loss: 0.2184
  Batch [400/1299] D_loss: -0.7207, G_loss: -0.2218
  Batch [410/1299] D_loss: -0.6589, G_loss: -1.0983
  Batch [420/1299] D_loss: -0.0243, G_loss: 0.9736
  Batch [430/1299] D_loss: -0.1660, G_loss: -1.4329
  Batch [440/1299] D_loss: -0.0392, G_loss: 0.0254
  Batch [450/1299] D_loss: -1.2837, G_loss: 2.1479
  Batch [460/1299] D_loss: -0.4397, G_loss: -0.5765
  Batch [470/1299] D_loss: -0.8058, G_loss: 0.7006
  Batch [480/1299] D_loss: -0.4422, G_loss: -1.5384
  Batch [490/1299] D_loss: -0.1830, G_loss: 1.3542
  Batch [500/1299] D_loss: -0.3551, G_loss: -0.7474
  Batch [510/1299] D_loss: -0.2745, G_loss: 0.1669
  Batch [520/1299] D_loss: -0.5440, G_loss: -0.9155
  Batch [530/1299] D_loss: -0.7862, G_loss: 1.9941
  Batch [540/1299] D_loss: -0.7898, G_loss: -2.0194
  Batch [550/1299] D_loss: -1.0510, G_loss: 1.3695
  Batch [560/1299] D_loss: 0.0236, G_loss: -1.3437
  Batch [570/1299] D_loss: -0.3033, G_loss: 1.5479
  Batch [580/1299] D_loss: -0.8396, G_loss: -0.1870
  Batch [590/1299] D_loss: -0.6861, G_loss: -0.6874
  Batch [600/1299] D_loss: -1.2790, G_loss: -1.9118
  Batch [610/1299] D_loss: -0.7015, G_loss: 1.0633
  Batch [620/1299] D_loss: -0.2228, G_loss: -0.9293
  Batch [630/1299] D_loss: -0.6195, G_loss: 0.8861
  Batch [640/1299] D_loss: -0.2601, G_loss: -0.4712
  Batch [650/1299] D_loss: -0.3165, G_loss: -0.0161
  Batch [660/1299] D_loss: -0.4162, G_loss: 1.8598
  Batch [670/1299] D_loss: -0.9411, G_loss: 0.5072
  Batch [680/1299] D_loss: -0.5091, G_loss: 1.6780
  Batch [690/1299] D_loss: -0.1994, G_loss: -1.2768
  Batch [700/1299] D_loss: -0.4233, G_loss: -1.5307
  Batch [710/1299] D_loss: -0.5598, G_loss: 2.2924
  Batch [720/1299] D_loss: -0.5157, G_loss: 0.8331
  Batch [730/1299] D_loss: -0.7607, G_loss: 0.1967
  Batch [740/1299] D_loss: -0.8137, G_loss: 0.8150
  Batch [750/1299] D_loss: -0.7485, G_loss: -0.7233
  Batch [760/1299] D_loss: -0.2468, G_loss: -0.2053
  Batch [770/1299] D_loss: -0.4358, G_loss: 2.3961
  Batch [780/1299] D_loss: -0.3291, G_loss: -1.2411
  Batch [790/1299] D_loss: -0.5060, G_loss: 0.9393
  Batch [800/1299] D_loss: -0.7067, G_loss: 0.1559
  Batch [810/1299] D_loss: -0.2773, G_loss: -0.0280
  Batch [820/1299] D_loss: -0.9383, G_loss: 1.0495
  Batch [830/1299] D_loss: -0.3754, G_loss: 0.2394
  Batch [840/1299] D_loss: -0.4412, G_loss: -0.6354
  Batch [850/1299] D_loss: -1.0273, G_loss: 0.1549
  Batch [860/1299] D_loss: -0.5194, G_loss: 1.3532
  Batch [870/1299] D_loss: -0.8837, G_loss: -1.8080
  Batch [880/1299] D_loss: -0.9060, G_loss: 0.8979
  Batch [890/1299] D_loss: -0.5930, G_loss: -1.2919
  Batch [900/1299] D_loss: -0.0029, G_loss: 0.5305
  Batch [910/1299] D_loss: -0.2954, G_loss: -1.4468
  Batch [920/1299] D_loss: -0.6587, G_loss: 0.2759
  Batch [930/1299] D_loss: -0.9056, G_loss: 0.3017
  Batch [940/1299] D_loss: -0.0496, G_loss: 0.2897
  Batch [950/1299] D_loss: -0.1721, G_loss: -0.9320
  Batch [960/1299] D_loss: -0.1808, G_loss: 0.5101
  Batch [970/1299] D_loss: -0.9444, G_loss: 0.9129
  Batch [980/1299] D_loss: -1.2303, G_loss: -0.2744
  Batch [990/1299] D_loss: -0.7177, G_loss: 0.1476
  Batch [1000/1299] D_loss: -0.2154, G_loss: 0.9317
  Batch [1010/1299] D_loss: -0.6792, G_loss: 0.0092
  Batch [1020/1299] D_loss: -1.2790, G_loss: 2.0887
  Batch [1030/1299] D_loss: -0.3565, G_loss: -1.3452
  Batch [1040/1299] D_loss: 0.0192, G_loss: 1.3394
  Batch [1050/1299] D_loss: -0.2777, G_loss: 0.0352
  Batch [1060/1299] D_loss: -0.9982, G_loss: -0.3559
  Batch [1070/1299] D_loss: -0.5975, G_loss: -0.5173
  Batch [1080/1299] D_loss: -0.6824, G_loss: -2.1272
  Batch [1090/1299] D_loss: -0.1084, G_loss: 0.9547
  Batch [1100/1299] D_loss: -0.2619, G_loss: -1.6336
  Batch [1110/1299] D_loss: -1.1060, G_loss: 2.0402
  Batch [1120/1299] D_loss: -1.0021, G_loss: -0.0930
  Batch [1130/1299] D_loss: -0.7908, G_loss: 0.6286
  Batch [1140/1299] D_loss: -1.0045, G_loss: -0.7386
  Batch [1150/1299] D_loss: -0.2280, G_loss: -0.8463
  Batch [1160/1299] D_loss: -0.4966, G_loss: 0.9845
  Batch [1170/1299] D_loss: -0.0744, G_loss: 0.3813
  Batch [1180/1299] D_loss: -0.2777, G_loss: -2.2155
  Batch [1190/1299] D_loss: -0.2100, G_loss: 1.4338
  Batch [1200/1299] D_loss: -0.4308, G_loss: -1.5170
  Batch [1210/1299] D_loss: -0.2615, G_loss: 0.0221
  Batch [1220/1299] D_loss: -0.0668, G_loss: -0.6118
  Batch [1230/1299] D_loss: -0.4877, G_loss: 1.5108
  Batch [1240/1299] D_loss: -0.3368, G_loss: -1.3641
  Batch [1250/1299] D_loss: -0.3014, G_loss: 1.0163
  Batch [1260/1299] D_loss: -0.0641, G_loss: -1.3831
  Batch [1270/1299] D_loss: -0.9559, G_loss: 1.5572
  Batch [1280/1299] D_loss: -0.4502, G_loss: -1.1694
  Batch [1290/1299] D_loss: -0.6688, G_loss: 0.8009

Epoch 2 Summary:
  Average D_loss: -0.1981
  Average G_loss: 0.1254

Epoch [3/100]
  Batch [0/1299] D_loss: -1.0465, G_loss: 0.2354
  Batch [10/1299] D_loss: -0.7434, G_loss: -0.0714
  Batch [20/1299] D_loss: -0.4275, G_loss: -2.4551
  Batch [30/1299] D_loss: -0.5672, G_loss: 0.6004
